Templates,154,580,960,1644,2059,2531,2687,2996,3007,3192,4348,802,424,577,1955,2163b,2165,2347,2401,2461,3171,3690,4052,4156
10s165_,2.54,1.85,5.63,6.47,1.91,5.19,2.52,6.62,4.49,3.62,1.85,2.12,2.77,3.41,3.55,2.00,2.40,3.79,3.13,2.39,3.53,3.64,8.22,4.58
A9s272_,1.93,1.87,4.72,4.38,2.21,3.92,2.32,4.62,3.97,3.44,2.03,2.13,3.84,3.44,3.51,2.03,2.65,2.88,3.67,2.36,3.30,2.62,6.16,3.80
A9s314_,2.06,2.00,4.04,4.14,2.21,3.61,1.99,3.98,3.59,4.07,2.10,2.39,3.93,3.99,3.71,2.04,2.51,2.58,3.49,1.94,2.67,3.09,6.89,3.59
10s177_,2.11,1.99,4.08,5.39,1.72,4.40,2.02,5.26,3.90,3.51,1.92,2.24,3.58,3.41,3.54,2.00,2.39,4.05,3.51,2.17,2.75,2.57,8.44,4.72
A8s358_,2.07,2.70,4.11,4.26,1.40,3.95,2.11,4.22,3.66,4.15,2.44,2.92,5.11,3.65,0.85,2.66,3.58,2.82,1.83,2.10,2.97,2.68,4.57,2.96
A9s089_,1.99,2.83,4.10,4.34,1.18,3.73,1.99,4.29,3.54,4.46,2.18,2.53,4.05,3.39,0.85,2.66,3.31,2.71,1.85,2.21,2.66,3.13,4.99,3.19
A8s221_,2.06,2.71,4.19,4.42,1.16,4.16,2.18,4.39,3.82,3.78,2.25,2.59,4.03,3.91,0.89,2.69,4.00,3.17,1.81,2.00,2.84,2.53,4.10,2.90
10s379_,2.26,2.65,4.47,4.10,1.29,3.70,2.30,4.52,3.35,3.61,2.34,2.19,4.61,3.73,0.84,2.71,3.75,3.13,1.91,2.28,2.72,3.10,4.29,2.93
A9s005_,2.04,2.73,4.58,5.54,1.64,4.11,1.92,5.68,3.45,3.32,2.47,2.38,3.46,3.36,0.84,2.85,2.92,4.57,2.01,1.95,3.64,3.30,5.98,2.28
A7s291_,2.11,1.96,4.18,3.59,2.18,3.86,2.01,4.59,3.25,4.90,3.05,2.75,2.71,3.93,6.37,2.92,3.34,2.39,3.56,2.07,2.91,2.81,6.68,2.72
A6s116_,1.94,1.93,4.49,4.47,1.84,3.98,2.11,4.57,3.24,5.37,3.38,2.75,2.54,3.79,5.82,3.07,3.59,2.64,3.88,2.17,3.17,3.23,6.36,2.67
A6s239_,2.23,1.96,3.77,4.41,2.07,3.99,2.16,4.59,3.78,4.66,2.88,2.45,2.79,3.74,4.62,2.92,3.16,2.87,3.24,2.04,2.58,2.17,4.96,2.35
A6s426_,2.09,1.82,3.94,3.95,2.24,3.51,2.09,4.93,3.48,5.20,3.00,2.81,2.79,3.47,5.25,2.76,3.07,2.37,3.70,2.10,3.07,3.00,6.11,2.44
A6s283_,2.07,2.01,4.43,4.54,2.25,3.87,2.21,4.95,3.28,5.33,3.10,2.80,2.48,3.57,5.43,2.97,3.45,2.61,3.59,2.06,2.89,2.62,5.74,2.62
A6s158_,2.47,2.61,9.23,5.14,3.69,5.75,2.86,6.50,4.41,3.42,2.65,1.29,3.29,3.81,2.80,2.02,3.71,3.70,3.23,2.05,3.26,2.45,8.10,3.86
A7s317_,2.13,2.10,5.33,3.46,2.20,3.78,2.00,3.16,3.16,3.69,2.54,1.45,3.59,3.59,2.49,2.00,3.50,3.22,3.67,2.24,3.32,2.81,7.55,4.02
A6s320_,2.10,2.30,5.47,2.78,2.23,3.49,2.22,2.71,3.23,3.15,2.51,1.35,4.39,3.77,2.74,1.90,3.31,2.42,3.15,2.38,2.69,2.32,6.24,4.36
A6s218_,1.95,2.12,5.80,3.03,2.22,4.03,2.12,2.87,3.23,3.65,2.17,1.74,3.53,4.44,2.66,1.96,3.12,2.78,3.99,2.32,2.78,2.73,7.87,3.73
A5s120_,2.37,1.99,5.75,3.56,2.29,4.38,2.08,3.48,3.28,3.31,2.60,1.71,3.82,3.67,2.39,2.04,3.63,2.80,3.59,2.09,2.76,2.27,5.72,3.07
10s255_,2.08,2.18,6.15,5.68,2.13,4.37,2.50,6.30,3.89,5.32,3.42,2.59,5.40,1.69,3.64,2.01,3.17,3.67,1.83,2.32,3.00,3.08,8.19,5.30
12s074_,2.24,2.07,5.37,5.32,2.03,4.26,2.56,5.82,3.50,5.75,3.52,2.94,5.37,1.68,3.69,2.04,3.58,2.76,1.93,2.15,3.51,2.63,7.56,4.50
A7s146_,2.10,2.15,7.04,6.23,1.93,5.53,3.18,8.17,4.15,6.13,3.53,2.47,5.04,1.57,3.67,1.99,3.35,3.67,1.60,2.29,2.82,2.87,6.70,4.83
10s342_,2.25,2.20,6.03,6.25,2.78,4.69,2.86,7.63,3.85,5.81,3.52,2.73,4.97,1.66,3.17,1.98,3.60,3.48,1.86,1.89,3.00,2.14,5.84,4.21
A8s182_,2.11,2.13,5.57,4.71,2.16,3.77,2.38,6.60,3.36,6.04,3.34,3.07,5.66,1.78,3.50,2.01,3.72,2.80,1.93,2.05,3.22,2.89,7.74,4.59
